"timeID","releaseYear","releaseMonth","releaseDay","dailyReleaseNum"
"0","2006","0","0","1299"
"1","0","0","0","26772"
"2","1995","0","0","276"
"3","2003","3","10","16"
"4","1996","5","28","28"
"5","2001","2","6","179"
"6","2004","1","13","126"
"7","2011","0","0","2228"
"8","2012","2","14","115"
"9","2008","0","0","1746"
"10","2012","8","28","130"
"11","2009","8","11","118"
"12","2002","0","0","521"
"13","2011","9","13","131"
"14","2003","2","4","260"
"15","2002","9","10","72"
"16","2007","4","24","233"
"17","2005","0","0","836"
"18","2010","4","6","1268"
"19","2012","6","28","2"
"20","1994","12","1","79"
"21","2003","4","15","186"
"22","2009","9","14","24"
"23","2000","10","3","136"
"24","2007","9","11","188"
"25","2006","11","14","151"
"26","2006","4","18","104"
"27","2007","4","23","11"
"28","2012","1","3","70"
"29","2004","5","4","167"
"30","2009","11","3","162"
"31","1970","2","5","1"
"32","2009","6","16","112"
"33","1998","1","1","942"
"34","1996","1","1","40"
"35","2009","12","1","123"
"36","2011","5","31","113"
"37","1990","5","24","6"
"38","2012","3","21","8"
"39","2003","9","30","237"
"40","1997","7","8","83"
"41","1997","3","11","33"
"42","2010","6","15","100"
"43","2003","3","25","142"
"44","2001","6","20","1"
"45","1983","0","0","158"
"46","2011","9","20","127"
"47","2001","5","22","355"
"48","2012","0","0","1505"
"49","2012","10","2","101"
"50","2001","4","17","118"
"51","2000","1","25","105"
"52","2006","5","9","106"
"53","2010","2","3","6"
"54","2008","6","10","104"
"55","2008","9","30","204"
"56","2006","9","5","171"
"57","2008","11","25","116"
"58","1995","4","25","31"
"59","2000","1","18","116"
"60","2002","2","12","100"
"61","2009","8","4","113"
"62","1989","3","15","12"
"63","2010","5","25","131"
"64","1990","12","12","10"
"65","2001","2","20","113"
"66","1991","0","0","215"
"67","2001","8","14","160"
"68","2008","8","12","155"
"69","1993","9","29","38"
"70","2006","12","12","109"
"71","1993","1","27","82"
"72","2004","6","22","119"
"73","2002","8","27","237"
"74","1998","7","21","34"
"75","2006","8","29","207"
"76","2010","4","27","142"
"77","2008","7","15","86"
"78","1996","10","24","5"
"79","2004","4","27","233"
"80","2003","12","31","12"
"81","2004","7","13","138"
"82","2000","8","15","124"
"83","2001","9","18","125"
"84","2011","3","11","185"
"85","2012","9","12","10"
"86","2001","2","27","132"
"87","1998","10","21","19"
"88","2007","8","7","177"
"89","2003","0","0","545"
"90","2004","7","20","134"
"91","2011","4","12","100"
"92","2005","6","7","222"
"93","2004","7","27","145"
"94","1984","0","0","164"
"95","2012","10","9","101"
"96","2006","6","9","7"
"97","2009","3","31","273"
"98","1996","1","23","22"
"99","2004","10","5","152"
"100","2008","8","5","155"
"101","2004","11","2","96"
"102","1994","9","14","61"
"103","2006","10","3","137"
"104","1994","4","15","64"
"105","2007","4","3","131"
"106","1993","6","30","25"
"107","1968","0","0","95"
"108","2011","3","29","190"
"109","2007","10","23","135"
"110","2001","6","12","84"
"111","1997","6","11","54"
"112","1999","6","29","181"
"113","1998","8","25","174"
"114","1992","4","1","126"
"115","1995","1","25","15"
"116","2005","2","15","142"
"117","2010","0","0","2081"
"118","2010","9","7","151"
"119","1994","8","24","52"
"120","2004","5","11","131"
"121","2003","3","18","150"
"122","2004","3","9","145"
"123","2008","10","15","4"
"124","2005","1","11","165"
"125","2011","11","22","114"
"126","2004","10","12","205"
"127","1937","0","0","66"
"128","2009","7","14","115"
"129","2003","7","31","5"
"130","2010","8","31","86"
"131","2007","10","3","7"
"132","1999","11","9","112"
"133","2011","2","8","142"
"134","2006","8","22","144"
"135","2010","3","23","110"
"136","2004","3","30","205"
"137","1999","8","10","57"
