"releaseYear","releaseMonth","releaseNum"
"0","0","26772"
"0","4","1"
"4","27","2"
"9","18","1"
"1905","0","1"
"1913","0","3"
"1914","0","2"
"1915","0","2"
"1916","0","3"
"1918","0","4"
"1919","0","8"
"1920","0","6"
"1921","0","4"
"1922","0","10"
"1923","0","4"
"1923","1","1"
"1924","0","9"
"1925","0","14"
"1926","0","2"
"1927","0","10"
"1928","0","11"
"1929","0","14"
"1930","0","23"
"1931","0","28"
"1931","12","1"
"1932","0","40"
"1932","1","1"
"1932","2","1"
"1933","0","36"
"1933","1","1"
"1933","3","1"
"1934","0","52"
"1934","1","5"
"1935","0","65"
"1935","1","8"
"1935","5","1"
"1936","0","74"
"1936","1","1"
"1937","0","66"
"1937","1","9"
"1938","0","44"
"1939","0","75"
"1939","1","3"
"1939","12","1"
"1940","0","63"
"1940","1","3"
"1940","12","1"
"1941","0","88"
"1941","1","1"
"1942","0","64"
"1942","1","1"
"1942","2","1"
"1942","6","1"
"1943","0","75"
"1943","1","1"
"1944","0","58"
"1944","1","2"
"1944","5","1"
"1945","0","47"
"1945","1","3"
"1946","0","61"
"1946","1","5"
"1947","0","53"
"1947","1","4"
"1948","0","53"
"1949","0","63"
"1949","1","2"
"1950","0","78"
"1951","0","75"
"1951","1","2"
"1952","0","54"
"1952","1","12"
"1952","2","1"
"1953","0","81"
"1953","3","1"
"1953","5","2"
"1954","0","88"
"1954","1","5"
"1954","2","1"
"1954","6","1"
"1955","0","95"
"1955","1","5"
"1955","5","2"
"1956","0","87"
"1956","1","4"
"1957","0","67"
"1957","1","4"
"1957","9","1"
"1958","0","102"
"1958","1","2"
"1959","0","90"
"1959","1","4"
"1959","9","1"
"1960","0","97"
"1960","1","3"
"1961","0","90"
"1961","1","4"
"1962","0","111"
"1962","1","1"
"1962","12","1"
"1963","0","85"
"1963","1","2"
"1964","0","115"
"1964","1","1"
"1965","0","106"
"1965","1","2"
"1966","0","105"
"1966","1","2"
"1967","0","107"
"1968","0","95"
"1968","1","2"
"1968","8","1"
"1969","0","115"
"1969","1","3"
"1969","11","1"
"1969","12","2"
"1970","0","117"
"1970","1","2"
"1970","2","1"
"1970","9","1"
"1970","12","7"
"1971","0","139"
"1971","1","4"
"1972","0","134"
"1972","1","7"
"1972","2","2"
"1972","5","1"
"1972","6","2"
"1973","0","155"
"1973","1","3"
"1973","2","1"
"1973","3","2"
"1974","0","138"
"1974","1","3"
"1974","4","1"
"1975","0","110"
"1975","1","5"
"1975","5","3"
"1975","11","1"
"1975","12","1"
"1976","0","119"
"1976","1","2"
"1976","2","2"
"1976","5","1"
"1976","6","1"
"1976","12","1"
"1977","0","92"
"1977","1","1"
"1977","5","1"
"1977","7","6"
"1977","8","1"
"1977","12","1"
"1978","0","92"
"1978","1","4"
"1978","2","2"
"1978","4","1"
"1979","0","122"
"1979","1","4"
"1979","6","2"
"1979","8","1"
"1979","9","1"
"1979","10","1"
"1979","12","1"
"1980","0","146"
"1980","1","1"
"1980","3","1"
"1980","4","1"
"1980","6","2"
"1980","7","1"
"1980","9","1"
"1980","10","1"
"1980","12","2"
"1981","0","145"
"1981","4","2"
"1981","8","1"
"1981","12","1"
"1982","0","141"
"1982","1","3"
"1982","2","1"
"1982","4","3"
"1982","6","1"
"1982","9","1"
"1982","10","2"
"1982","11","2"
"1982","12","2"
"1983","0","158"
"1983","1","6"
"1983","2","1"
"1983","3","1"
"1983","6","1"
"1983","7","3"
"1983","9","1"
"1983","10","3"
"1984","0","164"
"1984","1","6"
"1984","4","1"
"1984","5","1"
"1984","6","3"
"1984","8","2"
"1984","9","1"
"1984","10","2"
"1984","12","1"
"1985","0","169"
"1985","1","26"
"1985","2","7"
"1985","3","1"
"1985","4","4"
"1985","5","9"
"1985","6","4"
"1985","7","3"
"1985","8","5"
"1985","9","1"
"1985","10","3"
"1985","11","1"
"1985","12","4"
"1986","0","192"
"1986","1","21"
"1986","2","1"
"1986","3","1"
"1986","4","2"
"1986","5","3"
"1986","6","6"
"1986","7","4"
"1986","8","17"
"1986","9","16"
"1986","10","21"
"1986","11","17"
"1986","12","18"
"1987","0","176"
"1987","1","82"
"1987","2","37"
"1987","3","30"
"1987","4","22"
"1987","5","25"
"1987","6","29"
"1987","7","34"
"1987","8","38"
"1987","9","25"
"1987","10","31"
"1987","11","27"
"1987","12","43"
"1988","0","235"
"1988","1","31"
"1988","2","21"
"1988","3","36"
"1988","4","31"
"1988","5","24"
"1988","6","28"
"1988","7","44"
"1988","8","27"
"1988","9","41"
"1988","10","46"
"1988","11","35"
"1988","12","39"
"1989","0","245"
"1989","1","46"
"1989","2","48"
"1989","3","46"
"1989","4","42"
"1989","5","48"
"1989","6","133"
"1989","7","57"
"1989","8","116"
"1989","9","111"
"1989","10","49"
"1989","11","56"
"1989","12","48"
"1990","0","203"
"1990","1","86"
"1990","2","62"
"1990","3","101"
"1990","4","84"
"1990","5","72"
"1990","6","57"
"1990","7","87"
"1990","8","75"
"1990","9","112"
"1990","10","100"
"1990","11","61"
"1990","12","78"
"1991","0","215"
"1991","1","87"
"1991","2","93"
"1991","3","77"
"1991","4","125"
"1991","5","108"
"1991","6","126"
"1991","7","183"
"1991","8","112"
"1991","9","130"
"1991","10","210"
"1991","11","74"
"1991","12","110"
"1992","0","240"
"1992","1","121"
"1992","2","95"
"1992","3","212"
"1992","4","230"
"1992","5","79"
"1992","6","131"
"1992","7","153"
"1992","8","134"
"1992","9","117"
"1992","10","111"
"1992","11","95"
"1992","12","164"
"1993","0","292"
"1993","1","176"
"1993","2","83"
"1993","3","112"
"1993","4","148"
"1993","5","178"
"1993","6","176"
"1993","7","76"
"1993","8","217"
"1993","9","219"
"1993","10","163"
"1993","11","154"
"1993","12","223"
"1994","0","282"
"1994","1","148"
"1994","2","148"
"1994","3","162"
"1994","4","289"
"1994","5","145"
"1994","6","326"
"1994","7","227"
"1994","8","185"
"1994","9","231"
"1994","10","155"
"1994","11","192"
"1994","12","290"
"1995","0","276"
"1995","1","201"
"1995","2","271"
"1995","3","200"
"1995","4","289"
"1995","5","313"
"1995","6","275"
"1995","7","147"
"1995","8","265"
"1995","9","239"
"1995","10","169"
"1995","11","151"
"1995","12","96"
"1996","0","294"
"1996","1","221"
"1996","2","234"
"1996","3","220"
"1996","4","219"
"1996","5","198"
"1996","6","224"
"1996","7","167"
"1996","8","233"
"1996","9","250"
"1996","10","247"
"1996","11","176"
"1996","12","156"
"1997","0","344"
"1997","1","232"
"1997","2","230"
"1997","3","241"
"1997","4","250"
"1997","5","217"
"1997","6","304"
"1997","7","329"
"1997","8","310"
"1997","9","554"
"1997","10","470"
"1997","11","364"
"1997","12","191"
"1998","0","387"
"1998","1","1264"
"1998","2","380"
"1998","3","387"
"1998","4","343"
"1998","5","360"
"1998","6","596"
"1998","7","435"
"1998","8","504"
"1998","9","1140"
"1998","10","427"
"1998","11","1056"
"1998","12","323"
"1999","0","374"
"1999","1","428"
"1999","2","398"
"1999","3","552"
"1999","4","455"
"1999","5","411"
"1999","6","685"
"1999","7","399"
"1999","8","509"
"1999","9","464"
"1999","10","560"
"1999","11","695"
"1999","12","417"
"2000","0","441"
"2000","1","545"
"2000","2","708"
"2000","3","756"
"2000","4","473"
"2000","5","602"
"2000","6","938"
"2000","7","780"
"2000","8","696"
"2000","9","689"
"2000","10","714"
"2000","11","718"
