"releaseYear","releaseNum"
"0","26773"
"4","2"
"9","1"
"1905","1"
"1913","3"
"1914","2"
"1915","2"
"1916","3"
"1918","4"
"1919","8"
"1920","6"
"1921","4"
"1922","10"
"1923","5"
"1924","9"
"1925","14"
"1926","2"
"1927","10"
"1928","11"
"1929","14"
"1930","23"
"1931","29"
"1932","42"
"1933","38"
"1934","57"
"1935","74"
"1936","75"
"1937","75"
"1938","44"
"1939","79"
"1940","67"
"1941","89"
"1942","67"
"1943","76"
"1944","61"
"1945","50"
"1946","66"
"1947","57"
"1948","53"
"1949","65"
"1950","78"
"1951","77"
"1952","67"
"1953","84"
"1954","95"
"1955","102"
"1956","91"
"1957","72"
"1958","104"
"1959","95"
"1960","100"
"1961","94"
"1962","113"
"1963","87"
"1964","116"
"1965","108"
"1966","107"
"1967","107"
"1968","98"
"1969","121"
"1970","128"
"1971","143"
"1972","146"
"1973","161"
"1974","142"
"1975","120"
"1976","126"
"1977","102"
"1978","99"
"1979","132"
"1980","156"
"1981","149"
"1982","156"
"1983","174"
"1984","181"
"1985","237"
"1986","319"
"1987","599"
"1988","638"
"1989","1045"
"1990","1178"
"1991","1650"
"1992","1882"
"1993","2217"
"1994","2780"
"1995","2892"
"1996","2839"
"1997","4036"
"1998","7602"
"1999","6347"
"2000","8499"
"2001","9014"
"2002","9611"
"2003","10345"
"2004","11381"
"2005","11051"
"2006","10546"
"2007","11005"
"2008","10444"
"2009","11100"
"2010","12066"
"2011","10575"
"2012","7312"
"2013","476"
"2014","176"
"2015","370"
"2016","745"
"2017","96"
"2018","187"
"2019","234"
"2020","372"
"2023","2"
