0,amazon.com/dp/B002DJM9R8,The Wizard,B002DJM9R8,1989,1h 40min,Todd Holland,,"Luke Edwards,Vince Trankina,Ray Bickel","Comedy,Young Adult Audience,Kids","1,010",Prime Video (streaming online video),$13.99, 4.7 
1,amazon.com/dp/B007R10898,1313: UFO Invasion,B007R10898,,1h 24min,David DeCoteau,,"Monique Parent,Aaron Thornton,Matt Gedz",Science Fiction,42,Prime Video (streaming online video),, 2.7 
2,amazon.com/dp/B000S9ZTHM,Croupier (La Jugada) [NTSC/REGION 1 & 4 DVD. Import-Latin America],B000S9ZTHM,,,Mike Hodges,,"Clive Owen, Nick Reding, Nicholas Ball",Genre for Featured Categories,127,DVD,$3.69,4.1 
3,amazon.com/dp/B0002ZDR80,Tai Chi for Health: Yang Long Form,B0002ZDR80,"December 7, 2004",2 hours,Terence Dunn,Terence Dunn,Terence Dunn,Genre for Featured Categories,127,DVD,$22.40,4.4 
4,amazon.com/dp/B000GK68EG,Avatar: The Last Airbender,B000GK68EG,2006,,,,,Kids,"8,767",Prime Video (streaming online video),, 4.9 
5,amazon.com/dp/B001C0JCMO,Heroes Of World Class Wrestling,B001C0JCMO,"May 5, 2009",3 hours,"Harrison, Brian",,,Genre for Featured Categories,74,DVD,$19.95,4.5 
6,amazon.com/dp/630504855X,NFL / New England Patriots 98 [VHS],630504855X,"August 4, 1998",,,,NFL,Genre for Featured Categories,1,VHS Tape,,4.0 
7,amazon.com/dp/B00005Q4DW,Lara Croft - Tomb Raider,B00005Q4DW,"November 13, 2001",1 hour and 40 minutes,Simon West,"John Zinman, Michael Colleary, Mike Werb, Patrick Massett, Sara B. Cooper","Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor, Daniel Craig",Science Fiction & Fantasy,2,DVD,$7.19,4.6 
8,amazon.com/dp/B0000AZT6L,Maximum Velocity [VHS],B0000AZT6L,"October 7, 2003",1 hour and 33 minutes,Phillip J. Roth,,"Dale Midkiff, Michael Ironside, Wendy Carter, Gregor Törzs, Jennifer Jostyn",Genre for Featured Categories,13,VHS Tape,,2.8 
9,amazon.com/dp/B002SL4J6A,Night of the Strangler,B002SL4J6A,1972,1h 28min,Joy N. Houck Jr.,,"Micky Dolenz,Chuck Patterson","Drama,Suspense",11,Prime Video (streaming online video),$7.99, 3.4 
10,amazon.com/dp/B0000AC8OG,The Big O: Complete Collection,B0000AC8OG,"December 31, 2003",5 hours and 25 minutes,,"Chiaki Konaka, Hajime Yatate, Keiichi Hasegawa, Masanao Akahoshi, Shin Yoshida","Mitsuru Miyamoto, Steve Blum, Akiko Yajima, Motomu Kiyokawa, Tesshô Genda",Science Fiction & Fantasy,117,DVD,$46.31,4.7 
